PATHWAY	NAME
R-MMU-170670	Adenylate cyclase inhibitory pathway
R-MMU-418990	Adherens junctions interactions
R-MMU-392023	Adrenaline signalling through Alpha-2 adrenergic receptor
R-MMU-400042	Adrenaline,noradrenaline inhibits insulin secretion
R-MMU-390696	Adrenoceptors
R-MMU-879415	Advanced glycosylation endproduct receptor signaling
R-MMU-5423646	Aflatoxin activation and detoxification
R-MMU-9646399	Aggrephagy
R-MMU-351143	Agmatine biosynthesis
R-MMU-8964540	Alanine metabolism
R-MMU-1462054	Alpha-defensins
R-MMU-389599	Alpha-oxidation of phytanate
R-MMU-9645460	Alpha-protein kinase 1 signaling pathway
R-MMU-173736	Alternative complement activation
R-MMU-140179	Amine Oxidase reactions
R-MMU-375280	Amine ligand-binding receptors
R-MMU-156587	Amino Acid conjugation
R-MMU-352230	Amino acid transport across the plasma membrane
R-MMU-9639288	Amino acids regulate mTORC1
R-MMU-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
R-MMU-141424	Amplification of signal from the kinetochores
R-MMU-2214320	Anchoring fibril formation
R-MMU-5620912	Anchoring of the basal body to the plasma membrane
R-MMU-193048	Androgen biosynthesis
R-MMU-2473224	Antagonism of Activin by Follistatin
R-MMU-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC
R-MMU-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
R-MMU-1236975	Antigen processing-Cross presentation
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation
R-MMU-6803157	Antimicrobial peptides
R-MMU-1169410	Antiviral mechanism by IFN-stimulated genes
R-MMU-109581	Apoptosis
R-MMU-140342	Apoptosis induced DNA fragmentation
R-MMU-351906	Apoptotic cleavage of cell adhesion  proteins
R-MMU-111465	Apoptotic cleavage of cellular proteins
R-MMU-75153	Apoptotic execution phase
R-MMU-111471	Apoptotic factor-mediated response
R-MMU-445717	Aquaporin-mediated transport
R-MMU-426048	Arachidonate production from DAG
R-MMU-2142753	Arachidonic acid metabolism
R-MMU-8937144	Aryl hydrocarbon receptor signalling
R-MMU-446203	Asparagine N-linked glycosylation
R-MMU-8963693	Aspartate and asparagine metabolism
R-MMU-9609736	Assembly and cell surface presentation of NMDA receptors
R-MMU-8963889	Assembly of active LPL and LIPC lipase complexes
R-MMU-2022090	Assembly of collagen fibrils and other multimeric structures
R-MMU-68616	Assembly of the ORC complex at the origin of replication
R-MMU-68867	Assembly of the pre-replicative complex
R-MMU-390471	Association of TriC/CCT with target proteins during biosynthesis
R-MMU-210455	Astrocytic Glutamate-Glutamine Uptake And Metabolism
R-MMU-4608870	Asymmetric localization of PCP proteins
R-MMU-162791	Attachment of GPI anchor to uPAR
R-MMU-3371568	Attenuation phase
R-MMU-174084	Autodegradation of Cdh1 by Cdh1:APC/C
R-MMU-349425	Autodegradation of the E3 ubiquitin ligase COP1
R-MMU-9612973	Autophagy
R-MMU-422475	Axon guidance
R-MMU-193634	Axonal growth inhibition (RHOA activation)
R-MMU-209563	Axonal growth stimulation
R-MMU-5250924	B-WICH complex positively regulates rRNA expression
R-MMU-5620922	BBSome-mediated cargo-targeting to cilium
R-MMU-111453	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
R-MMU-73884	Base Excision Repair
R-MMU-73929	Base-Excision Repair, AP Site Formation
R-MMU-210991	Basigin interactions
R-MMU-1461957	Beta defensins
R-MMU-77352	Beta oxidation of butanoyl-CoA to acetyl-CoA
R-MMU-77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
R-MMU-77350	Beta oxidation of hexanoyl-CoA to butanoyl-CoA
R-MMU-77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
R-MMU-77285	Beta oxidation of myristoyl-CoA to lauroyl-CoA
R-MMU-77348	Beta oxidation of octanoyl-CoA to hexanoyl-CoA
R-MMU-77305	Beta oxidation of palmitoyl-CoA to myristoyl-CoA
R-MMU-3858494	Beta-catenin independent WNT signaling
R-MMU-196299	Beta-catenin phosphorylation cascade
R-MMU-389887	Beta-oxidation of pristanoyl-CoA
R-MMU-390247	Beta-oxidation of very long chain fatty acids
R-MMU-425381	Bicarbonate transporters
R-MMU-194068	Bile acid and bile salt metabolism
R-MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors
R-MMU-141333	Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB
R-MMU-211859	Biological oxidations
R-MMU-9018676	Biosynthesis of D-series resolvins
R-MMU-9018677	Biosynthesis of DHA-derived SPMs
R-MMU-9026395	Biosynthesis of DHA-derived sulfido conjugates
R-MMU-9018683	Biosynthesis of DPA-derived SPMs
R-MMU-9025094	Biosynthesis of DPAn-3 SPMs
R-MMU-9026403	Biosynthesis of DPAn-3-derived 13-series resolvins
R-MMU-9026290	Biosynthesis of DPAn-3-derived maresins
R-MMU-9026286	Biosynthesis of DPAn-3-derived protectins and resolvins
R-MMU-9025106	Biosynthesis of DPAn-6 SPMs
R-MMU-9023661	Biosynthesis of E-series 18(R)-resolvins
R-MMU-9018896	Biosynthesis of E-series 18(S)-resolvins
R-MMU-9018679	Biosynthesis of EPA-derived SPMs
R-MMU-9020265	Biosynthesis of aspirin-triggered D-series resolvins
R-MMU-9027604	Biosynthesis of electrophilic <U+03C9>-3 PUFA oxo-derivatives
R-MMU-9026762	Biosynthesis of maresin conjugates in tissue regeneration (MCTR)
R-MMU-9027307	Biosynthesis of maresin-like SPMs
R-MMU-9018682	Biosynthesis of maresins
R-MMU-9026766	Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)
R-MMU-9018681	Biosynthesis of protectins
R-MMU-9018678	Biosynthesis of specialized proresolving mediators (SPMs)
R-MMU-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein
R-MMU-196780	Biotin transport and metabolism
R-MMU-9033658	Blood group systems biosynthesis
R-MMU-70895	Branched-chain amino acid catabolism
R-MMU-352238	Breakdown of the nuclear lamina
R-MMU-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
R-MMU-8851680	Butyrophilin (BTN) family interactions
R-MMU-5621481	C-type lectin receptors (CLRs)
R-MMU-75102	C6 deamination of adenosine
R-MMU-5218900	CASP8 activity is inhibited
R-MMU-5621575	CD209 (DC-SIGN) signaling
R-MMU-5690714	CD22 mediated BCR regulation
R-MMU-389356	CD28 co-stimulation
R-MMU-389357	CD28 dependent PI3K/Akt signaling
R-MMU-389359	CD28 dependent Vav1 pathway
R-MMU-68689	CDC6 association with the ORC:origin complex
R-MMU-69017	CDK-mediated phosphorylation and removal of Cdc6
R-MMU-68827	CDT1 association with the CDC6:ORC:origin complex
R-MMU-5607763	CLEC7A (Dectin-1) induces NFAT activation
R-MMU-5607764	CLEC7A (Dectin-1) signaling
R-MMU-5660668	CLEC7A/inflammasome pathway
R-MMU-6811434	COPI-dependent Golgi-to-ER retrograde traffic
R-MMU-6811436	COPI-independent Golgi-to-ER retrograde traffic
R-MMU-6807878	COPI-mediated anterograde transport
R-MMU-204005	COPII-mediated vesicle transport
R-MMU-140180	COX reactions
R-MMU-199920	CREB phosphorylation
R-MMU-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling
R-MMU-442720	CREB1 phosphorylation through the activation of Adenylate Cyclase
R-MMU-442729	CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde
R-MMU-8874211	CREB3 factors activate genes
R-MMU-399956	CRMPs in Sema3A signaling
R-MMU-2024101	CS/DS degradation
R-MMU-389513	CTLA4 inhibitory signaling
R-MMU-211999	CYP2E1 reactions
R-MMU-111996	Ca-dependent events
R-MMU-1296052	Ca2+ activated K+ channels
R-MMU-4086398	Ca2+ pathway
R-MMU-111997	CaM pathway
R-MMU-111932	CaMK IV-mediated phosphorylation of CREB
R-MMU-2025928	Calcineurin activates NFAT
R-MMU-419812	Calcitonin-like ligand receptors
R-MMU-111933	Calmodulin induced events
R-MMU-901042	Calnexin/calreticulin cycle
R-MMU-111957	Cam-PDE 1 activation
R-MMU-72737	Cap-dependent Translation Initiation
R-MMU-8955332	Carboxyterminal post-translational modifications of tubulin
R-MMU-5576891	Cardiac conduction
R-MMU-5694530	Cargo concentration in the ER
R-MMU-8856825	Cargo recognition for clathrin-mediated endocytosis
R-MMU-5620920	Cargo trafficking to the periciliary membrane
R-MMU-200425	Carnitine metabolism
R-MMU-71262	Carnitine synthesis
R-MMU-140534	Caspase activation via Death Receptors in the presence of ligand
R-MMU-418889	Caspase activation via Dependence Receptors in the absence of ligand
R-MMU-5357769	Caspase activation via extrinsic apoptotic signalling pathway
R-MMU-264870	Caspase-mediated cleavage of cytoskeletal proteins
R-MMU-209905	Catecholamine biosynthesis
R-MMU-426117	Cation-coupled Chloride cotransporters
R-MMU-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A
R-MMU-1640170	Cell Cycle
R-MMU-69620	Cell Cycle Checkpoints
R-MMU-69278	Cell Cycle, Mitotic
R-MMU-204998	Cell death signalling via NRAGE, NRIF and NADE
R-MMU-446728	Cell junction organization
R-MMU-202733	Cell surface interactions at the vascular wall
R-MMU-1500931	Cell-Cell communication
R-MMU-421270	Cell-cell junction organization
R-MMU-446353	Cell-extracellular matrix interactions
R-MMU-2559583	Cellular Senescence
R-MMU-189200	Cellular hexose transport
R-MMU-3371556	Cellular response to heat stress
R-MMU-1234174	Cellular response to hypoxia
R-MMU-8953897	Cellular responses to external stimuli
R-MMU-2262752	Cellular responses to stress
R-MMU-380287	Centrosome maturation
R-MMU-163765	ChREBP activates metabolic gene expression
R-MMU-390466	Chaperonin-mediated protein folding
R-MMU-380108	Chemokine receptors bind chemokines
R-MMU-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
R-MMU-191273	Cholesterol biosynthesis
R-MMU-6807047	Cholesterol biosynthesis via desmosterol
R-MMU-6807062	Cholesterol biosynthesis via lathosterol
R-MMU-6798163	Choline catabolism
R-MMU-2022870	Chondroitin sulfate biosynthesis
R-MMU-1793185	Chondroitin sulfate/dermatan sulfate metabolism
R-MMU-3247509	Chromatin modifying enzymes
R-MMU-4839726	Chromatin organization
R-MMU-73886	Chromosome Maintenance
R-MMU-8963888	Chylomicron assembly
R-MMU-8964026	Chylomicron clearance
R-MMU-8963901	Chylomicron remodeling
R-MMU-5617833	Cilium Assembly
R-MMU-71403	Citric acid cycle (TCA cycle)
R-MMU-373076	Class A/1 (Rhodopsin-like receptors)
R-MMU-373080	Class B/2 (Secretin family receptors)
R-MMU-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)
R-MMU-983169	Class I MHC mediated antigen processing & presentation
R-MMU-9603798	Class I peroxisomal membrane protein import
R-MMU-1296053	Classical Kir channels
R-MMU-173623	Classical antibody-mediated complement activation
R-MMU-8856828	Clathrin-mediated endocytosis
R-MMU-110331	Cleavage of the damaged purine
R-MMU-110329	Cleavage of the damaged pyrimidine 
R-MMU-196741	Cobalamin (Cbl, vitamin B12) transport and metabolism
R-MMU-196783	Coenzyme A biosynthesis
R-MMU-2470946	Cohesin Loading onto Chromatin
R-MMU-1650814	Collagen biosynthesis and modifying enzymes
R-MMU-8948216	Collagen chain trimerization
R-MMU-1442490	Collagen degradation
R-MMU-1474290	Collagen formation
R-MMU-140875	Common Pathway of Fibrin Clot Formation
R-MMU-166658	Complement cascade
R-MMU-6799198	Complex I biogenesis
R-MMU-2514853	Condensation of Prometaphase Chromosomes
R-MMU-2299718	Condensation of Prophase Chromosomes
R-MMU-177135	Conjugation of benzoate with glycine
R-MMU-159424	Conjugation of carboxylic acids
R-MMU-177162	Conjugation of phenylacetate with glutamine
R-MMU-177128	Conjugation of salicylate with glycine
R-MMU-176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
R-MMU-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding
R-MMU-388841	Costimulation by the CD28 family
R-MMU-71288	Creatine metabolism
R-MMU-166786	Creation of C4 and C2 activators
R-MMU-8949613	Cristae formation
R-MMU-1236973	Cross-presentation of particulate exogenous antigens (phagosomes)
R-MMU-1236978	Cross-presentation of soluble exogenous antigens (endosomes)
R-MMU-2243919	Crosslinking of collagen fibrils
R-MMU-69273	Cyclin A/B1/B2 associated events during G2/M transition
R-MMU-69656	Cyclin A:Cdk2-associated events at S phase entry
R-MMU-69231	Cyclin D associated events in G1
R-MMU-69202	Cyclin E associated events during G1/S transition 
R-MMU-1614603	Cysteine formation from homocysteine
R-MMU-211897	Cytochrome P450 - arranged by substrate type
R-MMU-111461	Cytochrome c-mediated apoptotic response
R-MMU-1280215	Cytokine Signaling in Immune system
R-MMU-1834949	Cytosolic sensors of pathogen-associated DNA 
R-MMU-156584	Cytosolic sulfonation of small molecules
R-MMU-379716	Cytosolic tRNA aminoacylation
R-MMU-1489509	DAG and IP3 signaling
R-MMU-2172127	DAP12 interactions
R-MMU-2424491	DAP12 signaling
R-MMU-180024	DARPP-32 events
R-MMU-418885	DCC mediated attractive signaling
R-MMU-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta
R-MMU-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 
R-MMU-73893	DNA Damage Bypass
R-MMU-5696394	DNA Damage Recognition in GG-NER
R-MMU-73942	DNA Damage Reversal
R-MMU-2559586	DNA Damage/Telomere Stress Induced Senescence
R-MMU-5693606	DNA Double Strand Break Response
R-MMU-5693532	DNA Double-Strand Break Repair
R-MMU-73894	DNA Repair
R-MMU-69306	DNA Replication
R-MMU-69002	DNA Replication Pre-Initiation
R-MMU-68952	DNA replication initiation
R-MMU-69190	DNA strand elongation
R-MMU-376172	DSCAM interactions
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex
R-MMU-429947	Deadenylation of mRNA
R-MMU-429914	Deadenylation-dependent mRNA decay
R-MMU-73887	Death Receptor Signalling
R-MMU-5607761	Dectin-1 mediated noncanonical NF-kB signaling
R-MMU-5621480	Dectin-2 family
R-MMU-1461973	Defensins
R-MMU-4641257	Degradation of AXIN
R-MMU-4641258	Degradation of DVL
R-MMU-916853	Degradation of GABA
R-MMU-5610780	Degradation of GLI1 by the proteasome
R-MMU-195253	Degradation of beta-catenin by the destruction complex
R-MMU-1614558	Degradation of cysteine and homocysteine
R-MMU-1474228	Degradation of the extracellular matrix
R-MMU-4419969	Depolymerisation of the Nuclear Lamina
R-MMU-606279	Deposition of new CENPA-containing nucleosomes at the centromere
R-MMU-73927	Depurination
R-MMU-73928	Depyrimidination
R-MMU-2022923	Dermatan sulfate biosynthesis
R-MMU-3299685	Detoxification of Reactive Oxygen Species
R-MMU-5688426	Deubiquitination
R-MMU-1266738	Developmental Biology
R-MMU-8935690	Digestion
R-MMU-8963743	Digestion and absorption
R-MMU-189085	Digestion of dietary carbohydrate
R-MMU-192456	Digestion of dietary lipid
R-MMU-69416	Dimerization of procaspase-8
R-MMU-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane
R-MMU-114516	Disinhibition of SNARE formation
R-MMU-110357	Displacement of DNA glycosylase by APEX1
R-MMU-75205	Dissolution of Fibrin Clot
R-MMU-212676	Dopamine Neurotransmitter Release Cycle
R-MMU-379401	Dopamine clearance from the synaptic cleft
R-MMU-390651	Dopamine receptors
R-MMU-8863795	Downregulation of ERBB2 signaling
R-MMU-1358803	Downregulation of ERBB2:ERBB3 signaling
R-MMU-1253288	Downregulation of ERBB4 signaling
R-MMU-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity
R-MMU-2173788	Downregulation of TGF-beta receptor signaling
R-MMU-202424	Downstream TCR signaling
R-MMU-186763	Downstream signal transduction
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)
R-MMU-5654687	Downstream signaling of activated FGFR1
R-MMU-5654696	Downstream signaling of activated FGFR2
R-MMU-5654708	Downstream signaling of activated FGFR3
R-MMU-5654716	Downstream signaling of activated FGFR4
R-MMU-5696400	Dual Incision in GG-NER
R-MMU-6782135	Dual incision in TC-NER
R-MMU-113510	E2F mediated regulation of DNA replication
R-MMU-8866654	E3 ubiquitin ligases ubiquitinate target proteins
R-MMU-3000178	ECM proteoglycans
R-MMU-2179392	EGFR Transactivation by Gastrin
R-MMU-182971	EGFR downregulation
R-MMU-212718	EGFR interacts with phospholipase C-gamma
R-MMU-9648025	EML4 and NUDC in mitotic spindle formation
R-MMU-2682334	EPH-Ephrin signaling
R-MMU-3928665	EPH-ephrin mediated repulsion of cells
R-MMU-3928663	EPHA-mediated growth cone collapse
R-MMU-3928662	EPHB-mediated forward signaling
R-MMU-901032	ER Quality Control Compartment (ERQC)
R-MMU-199977	ER to Golgi Anterograde Transport
R-MMU-1236974	ER-Phagosome pathway
R-MMU-8847993	ERBB2 Activates PTK6 Signaling
R-MMU-6785631	ERBB2 Regulates Cell Motility
R-MMU-198753	ERK/MAPK targets
R-MMU-202670	ERKs are inactivated
R-MMU-8939211	ESR-mediated signaling
R-MMU-114508	Effects of PIP2 hydrolysis
R-MMU-391903	Eicosanoid ligand-binding receptors
R-MMU-211979	Eicosanoids
R-MMU-1566948	Elastic fibre formation
R-MMU-112303	Electric Transmission Across Gap Junctions
R-MMU-2395516	Electron transport from NADPH to Ferredoxin
R-MMU-139853	Elevation of cytosolic Ca2+ levels
R-MMU-211976	Endogenous sterols
R-MMU-917729	Endosomal Sorting Complex Required For Transport (ESCRT)
R-MMU-1236977	Endosomal/Vacuolar pathway
R-MMU-380972	Energy dependent regulation of mTOR by LKB1-AMPK
R-MMU-379398	Enzymatic degradation of Dopamine by monoamine oxidase
R-MMU-379397	Enzymatic degradation of dopamine by COMT
R-MMU-3928664	Ephrin signaling
R-MMU-212165	Epigenetic regulation of gene expression
R-MMU-1237044	Erythrocytes take up carbon dioxide and release oxygen
R-MMU-1247673	Erythrocytes take up oxygen and release carbon dioxide
R-MMU-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)
R-MMU-9027284	Erythropoietin activates RAS
R-MMU-2468052	Establishment of Sister Chromatid Cohesion
R-MMU-193144	Estrogen biosynthesis
R-MMU-9018519	Estrogen-dependent gene expression
R-MMU-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling
R-MMU-9634635	Estrogen-stimulated signaling through PRKCZ
R-MMU-71384	Ethanol oxidation
R-MMU-156842	Eukaryotic Translation Elongation
R-MMU-72613	Eukaryotic Translation Initiation
R-MMU-72764	Eukaryotic Translation Termination
R-MMU-8941413	Events associated with phagocytolytic activity of PMN cells
R-MMU-9036866	Expression and Processing of Neurotrophins
R-MMU-180786	Extension of Telomeres
R-MMU-9009391	Extra-nuclear estrogen signaling
R-MMU-1474244	Extracellular matrix organization
R-MMU-140834	Extrinsic Pathway of Fibrin Clot Formation
R-MMU-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis
R-MMU-2871809	FCERI mediated Ca+2 mobilization
R-MMU-2871796	FCERI mediated MAPK activation
R-MMU-2871837	FCERI mediated NF-kB activation
R-MMU-2029481	FCGR activation
R-MMU-190242	FGFR1 ligand binding and activation
R-MMU-190370	FGFR1b ligand binding and activation
R-MMU-190374	FGFR1c and Klotho ligand binding and activation
R-MMU-190373	FGFR1c ligand binding and activation
R-MMU-6803529	FGFR2 alternative splicing
R-MMU-190241	FGFR2 ligand binding and activation
R-MMU-190377	FGFR2b ligand binding and activation
R-MMU-190375	FGFR2c ligand binding and activation
R-MMU-190239	FGFR3 ligand binding and activation
R-MMU-190371	FGFR3b ligand binding and activation
R-MMU-190372	FGFR3c ligand binding and activation
R-MMU-190322	FGFR4 ligand binding and activation
R-MMU-5658623	FGFRL1 modulation of FGFR1 signaling
R-MMU-9607240	FLT3 Signaling
R-MMU-217271	FMO oxidises nucleophiles
R-MMU-9614085	FOXO-mediated transcription
R-MMU-9617828	FOXO-mediated transcription of cell cycle genes
R-MMU-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
R-MMU-5654693	FRS-mediated FGFR1 signaling
R-MMU-5654700	FRS-mediated FGFR2 signaling
R-MMU-5654706	FRS-mediated FGFR3 signaling
R-MMU-5654712	FRS-mediated FGFR4 signaling
R-MMU-983231	Factors involved in megakaryocyte development and platelet production
R-MMU-6783310	Fanconi Anemia Pathway
R-MMU-75157	FasL/ CD95L signaling
R-MMU-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion
R-MMU-8978868	Fatty acid metabolism
R-MMU-211935	Fatty acids
R-MMU-75105	Fatty acyl-CoA biosynthesis
R-MMU-2454202	Fc epsilon receptor (FCERI) signaling
R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
R-MMU-1187000	Fertilization
R-MMU-1566977	Fibronectin matrix formation
R-MMU-2855086	Ficolins bind to repetitive carbohydrate structures on the target cell surface
R-MMU-163210	Formation of ATP by chemiosmotic coupling
R-MMU-140877	Formation of Fibrin Clot (Clotting Cascade)
R-MMU-5696395	Formation of Incision Complex in GG-NER
R-MMU-112382	Formation of RNA Pol II elongation complex 
R-MMU-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)
R-MMU-6781823	Formation of TC-NER Pre-Incision Complex
R-MMU-72689	Formation of a pool of free 40S subunits
R-MMU-196025	Formation of annular gap junctions
R-MMU-111458	Formation of apoptosome
R-MMU-77042	Formation of editosomes by ADAR proteins
R-MMU-113418	Formation of the Early Elongation Complex
R-MMU-75094	Formation of the Editosome
R-MMU-173599	Formation of the active cofactor, UDP-glucuronate
R-MMU-201722	Formation of the beta-catenin:TCF transactivating complex
R-MMU-6809371	Formation of the cornified envelope
R-MMU-72695	Formation of the ternary complex, and subsequently, the 43S complex
R-MMU-5661270	Formation of xylulose-5-phosphate
R-MMU-444473	Formyl peptide receptors bind formyl peptides and many other ligands
R-MMU-444209	Free fatty acid receptors
R-MMU-400451	Free fatty acids regulate insulin secretion
R-MMU-170968	Frs2-mediated activation
R-MMU-5652227	Fructose biosynthesis
R-MMU-70350	Fructose catabolism
R-MMU-5652084	Fructose metabolism
R-MMU-416482	G alpha (12/13) signalling events
R-MMU-418594	G alpha (i) signalling events
R-MMU-416476	G alpha (q) signalling events
R-MMU-418555	G alpha (s) signalling events
R-MMU-418597	G alpha (z) signalling events
R-MMU-8964315	G beta:gamma signalling through BTK
R-MMU-8964616	G beta:gamma signalling through CDC42
R-MMU-392451	G beta:gamma signalling through PI3Kgamma
R-MMU-418217	G beta:gamma signalling through PLC beta
R-MMU-1296059	G protein gated Potassium channels
R-MMU-202040	G-protein activation
R-MMU-397795	G-protein beta:gamma signalling
R-MMU-112040	G-protein mediated events
R-MMU-1538133	G0 and Early G1
R-MMU-69236	G1 Phase
R-MMU-69615	G1/S DNA Damage Checkpoints
R-MMU-69206	G1/S Transition
R-MMU-68911	G2 Phase
R-MMU-69481	G2/M Checkpoints
R-MMU-69473	G2/M DNA damage checkpoint
R-MMU-69478	G2/M DNA replication checkpoint
R-MMU-69275	G2/M Transition
R-MMU-180292	GAB1 signalosome
