PATHWAY	NAME	NGENES	NCOMPOUNDS	TYPE
map00401	Novobiocin biosynthesis	0	32	KEGGPATHWAY
map00402	Benzoxazinoid biosynthesis	0	9	KEGGPATHWAY
map00403	Indole diterpene alkaloid biosynthesis	0	33	KEGGPATHWAY
map00404	Staurosporine biosynthesis	0	48	KEGGPATHWAY
map00405	Phenazine biosynthesis	0	31	KEGGPATHWAY
map00410	beta-Alanine metabolism	32	32	KEGGPATHWAY
map00430	Taurine and hypotaurine metabolism	11	22	KEGGPATHWAY
map00440	Phosphonate and phosphinate metabolism	6	57	KEGGPATHWAY
map00450	Selenocompound metabolism	17	27	KEGGPATHWAY
map00460	Cyanoamino acid metabolism	0	45	KEGGPATHWAY
map00471	D-Glutamine and D-glutamate metabolism	4	13	KEGGPATHWAY
map00472	D-Arginine and D-ornithine metabolism	1	11	KEGGPATHWAY
map00473	D-Alanine metabolism	0	6	KEGGPATHWAY
map00480	Glutathione metabolism	65	38	KEGGPATHWAY
map00500	Starch and sucrose metabolism	33	37	KEGGPATHWAY
map00510	N-Glycan biosynthesis	50	8	KEGGPATHWAY
map00511	Other glycan degradation	18	0	KEGGPATHWAY
map00512	Mucin type O-glycan biosynthesis	28	1	KEGGPATHWAY
map00513	Various types of N-glycan biosynthesis	40	0	KEGGPATHWAY
map00514	Other types of O-glycan biosynthesis	43	0	KEGGPATHWAY
map00515	Mannose type O-glycan biosynthesis	23	4	KEGGPATHWAY
map00520	Amino sugar and nucleotide sugar metabolism	49	108	KEGGPATHWAY
map00521	Streptomycin biosynthesis	0	24	KEGGPATHWAY
map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	0	79	KEGGPATHWAY
map00523	Polyketide sugar unit biosynthesis	0	58	KEGGPATHWAY
map00524	Neomycin, kanamycin and gentamicin biosynthesis	5	81	KEGGPATHWAY
map00525	Acarbose and validamycin biosynthesis	0	36	KEGGPATHWAY
map00531	Glycosaminoglycan degradation	21	4	KEGGPATHWAY
map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	5	KEGGPATHWAY
map00533	Glycosaminoglycan biosynthesis - keratan sulfate	14	0	KEGGPATHWAY
map00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	3	KEGGPATHWAY
map00540	Lipopolysaccharide biosynthesis	0	54	KEGGPATHWAY
map00550	Peptidoglycan biosynthesis	0	25	KEGGPATHWAY
map00561	Glycerolipid metabolism	61	38	KEGGPATHWAY
map00562	Inositol phosphate metabolism	73	47	KEGGPATHWAY
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	3	KEGGPATHWAY
map00564	Glycerophospholipid metabolism	97	52	KEGGPATHWAY
map00565	Ether lipid metabolism	47	25	KEGGPATHWAY
map00571	Lipoarabinomannan (LAM) biosynthesis	0	2	KEGGPATHWAY
map00572	Arabinogalactan biosynthesis - Mycobacterium	0	5	KEGGPATHWAY
map00590	Arachidonic acid metabolism	89	75	KEGGPATHWAY
map00591	Linoleic acid metabolism	50	28	KEGGPATHWAY
map00592	alpha-Linolenic acid metabolism	25	44	KEGGPATHWAY
map00600	Sphingolipid metabolism	48	25	KEGGPATHWAY
map00601	Glycosphingolipid biosynthesis - lacto and neolacto series	27	0	KEGGPATHWAY
map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	16	0	KEGGPATHWAY
map00604	Glycosphingolipid biosynthesis - ganglio series	15	0	KEGGPATHWAY
map00620	Pyruvate metabolism	38	31	KEGGPATHWAY
map00621	Dioxin degradation	0	66	KEGGPATHWAY
map00622	Xylene degradation	0	38	KEGGPATHWAY
map00623	Toluene degradation	0	47	KEGGPATHWAY
map00624	Polycyclic aromatic hydrocarbon degradation	0	107	KEGGPATHWAY
map00625	Chloroalkane and chloroalkene degradation	0	43	KEGGPATHWAY
map00626	Naphthalene degradation	0	60	KEGGPATHWAY
map00627	Aminobenzoate degradation	0	86	KEGGPATHWAY
map00630	Glyoxylate and dicarboxylate metabolism	31	62	KEGGPATHWAY
map00633	Nitrotoluene degradation	0	27	KEGGPATHWAY
map00640	Propanoate metabolism	33	48	KEGGPATHWAY
map00642	Ethylbenzene degradation	0	14	KEGGPATHWAY
map00643	Styrene degradation	0	24	KEGGPATHWAY
map00650	Butanoate metabolism	27	42	KEGGPATHWAY
map00660	C5-Branched dibasic acid metabolism	0	34	KEGGPATHWAY
map00670	One carbon pool by folate	19	9	KEGGPATHWAY
map00680	Methane metabolism	0	86	KEGGPATHWAY
map00710	Carbon fixation in photosynthetic organisms	0	23	KEGGPATHWAY
map00720	Carbon fixation pathways in prokaryotes	0	44	KEGGPATHWAY
map00730	Thiamine metabolism	15	31	KEGGPATHWAY
map00740	Riboflavin metabolism	8	20	KEGGPATHWAY
map00750	Vitamin B6 metabolism	9	28	KEGGPATHWAY
map00760	Nicotinate and nicotinamide metabolism	43	55	KEGGPATHWAY
map00770	Pantothenate and CoA biosynthesis	18	28	KEGGPATHWAY
map00780	Biotin metabolism	3	28	KEGGPATHWAY
map00785	Lipoic acid metabolism	4	13	KEGGPATHWAY
map00790	Folate biosynthesis	26	57	KEGGPATHWAY
map00791	Atrazine degradation	0	23	KEGGPATHWAY
map00830	Retinol metabolism	91	25	KEGGPATHWAY
map00860	Porphyrin and chlorophyll metabolism	41	142	KEGGPATHWAY
map00900	Terpenoid backbone biosynthesis	23	45	KEGGPATHWAY
map00901	Indole alkaloid biosynthesis	0	70	KEGGPATHWAY
map00902	Monoterpenoid biosynthesis	0	58	KEGGPATHWAY
map00903	Limonene and pinene degradation	0	64	KEGGPATHWAY
map00904	Diterpenoid biosynthesis	0	121	KEGGPATHWAY
map00905	Brassinosteroid biosynthesis	0	29	KEGGPATHWAY
map00906	Carotenoid biosynthesis	0	115	KEGGPATHWAY
map00908	Zeatin biosynthesis	0	39	KEGGPATHWAY
map00909	Sesquiterpenoid and triterpenoid biosynthesis	0	88	KEGGPATHWAY
map00910	Nitrogen metabolism	17	19	KEGGPATHWAY
map00920	Sulfur metabolism	11	33	KEGGPATHWAY
map00930	Caprolactam degradation	0	26	KEGGPATHWAY
map00940	Phenylpropanoid biosynthesis	0	68	KEGGPATHWAY
map00941	Flavonoid biosynthesis	0	74	KEGGPATHWAY
map00942	Anthocyanin biosynthesis	0	66	KEGGPATHWAY
map00943	Isoflavonoid biosynthesis	0	64	KEGGPATHWAY
map00944	Flavone and flavonol biosynthesis	0	51	KEGGPATHWAY
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	0	25	KEGGPATHWAY
map00950	Isoquinoline alkaloid biosynthesis	0	122	KEGGPATHWAY
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	0	68	KEGGPATHWAY
map00965	Betalain biosynthesis	0	24	KEGGPATHWAY
map00966	Glucosinolate biosynthesis	0	77	KEGGPATHWAY
map00970	Aminoacyl-tRNA biosynthesis	66	52	KEGGPATHWAY
map00980	Metabolism of xenobiotics by cytochrome P450	67	121	KEGGPATHWAY
map00981	Insect hormone biosynthesis	0	25	KEGGPATHWAY
map00982	Drug metabolism - cytochrome P450	69	87	KEGGPATHWAY
map00983	Drug metabolism - other enzymes	88	52	KEGGPATHWAY
map00984	Steroid degradation	0	18	KEGGPATHWAY
map00997	Biosynthesis of various secondary metabolites - part 3	0	52	KEGGPATHWAY
map00998	Biosynthesis of various secondary metabolites - part 2	0	73	KEGGPATHWAY
map00999	Biosynthesis of various secondary metabolites - part 1	0	46	KEGGPATHWAY
map01040	Biosynthesis of unsaturated fatty acids	32	74	KEGGPATHWAY
map01051	Biosynthesis of ansamycins	0	32	KEGGPATHWAY
map01052	Type I polyketide structures	0	25	KEGGPATHWAY
map01053	Biosynthesis of siderophore group nonribosomal peptides	0	13	KEGGPATHWAY
map01054	Nonribosomal peptide structures	0	14	KEGGPATHWAY
map01055	Biosynthesis of vancomycin group antibiotics	0	19	KEGGPATHWAY
map01056	Biosynthesis of type II polyketide backbone	0	24	KEGGPATHWAY
map01057	Biosynthesis of type II polyketide products	0	135	KEGGPATHWAY
map01058	Acridone alkaloid biosynthesis	0	7	KEGGPATHWAY
map01059	Biosynthesis of enediyne antibiotics	0	63	KEGGPATHWAY
map01060	Biosynthesis of plant secondary metabolites	0	141	KEGGPATHWAY
map01061	Biosynthesis of phenylpropanoids	0	103	KEGGPATHWAY
map01062	Biosynthesis of terpenoids and steroids	0	98	KEGGPATHWAY
map01063	Biosynthesis of alkaloids derived from shikimate pathway	0	143	KEGGPATHWAY
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	0	67	KEGGPATHWAY
map01065	Biosynthesis of alkaloids derived from histidine and purine	0	35	KEGGPATHWAY
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	0	48	KEGGPATHWAY
map01070	Biosynthesis of plant hormones	0	68	KEGGPATHWAY
map01100	Metabolic pathways	1549	2701	KEGGPATHWAY
map01110	Biosynthesis of secondary metabolites	0	1237	KEGGPATHWAY
map01120	Microbial metabolism in diverse environments	0	997	KEGGPATHWAY
map01130	Biosynthesis of antibiotics	0	1029	KEGGPATHWAY
map01200	Carbon metabolism	120	114	KEGGPATHWAY
map01210	2-Oxocarboxylic acid metabolism	19	134	KEGGPATHWAY
map01212	Fatty acid metabolism	61	122	KEGGPATHWAY
map01220	Degradation of aromatic compounds	0	263	KEGGPATHWAY
map01230	Biosynthesis of amino acids	77	128	KEGGPATHWAY
map01501	beta-Lactam resistance	0	3	KEGGPATHWAY
map01502	Vancomycin resistance	0	24	KEGGPATHWAY
map01503	Cationic antimicrobial peptide (CAMP) resistance	0	13	KEGGPATHWAY
map01521	EGFR tyrosine kinase inhibitor resistance	79	2	KEGGPATHWAY
map01522	Endocrine resistance	93	5	KEGGPATHWAY
map01523	Antifolate resistance	30	17	KEGGPATHWAY
map01524	Platinum drug resistance	78	0	KEGGPATHWAY
map02010	ABC transporters	48	137	KEGGPATHWAY
map02020	Two-component system	0	53	KEGGPATHWAY
map02024	Quorum sensing	0	55	KEGGPATHWAY
map02025	Biofilm formation - Pseudomonas aeruginosa	0	8	KEGGPATHWAY
map02026	Biofilm formation - Escherichia coli	0	6	KEGGPATHWAY
map02030	Bacterial chemotaxis	0	6	KEGGPATHWAY
map02060	Phosphotransferase system (PTS)	0	56	KEGGPATHWAY
map03008	Ribosome biogenesis in eukaryotes	116	0	KEGGPATHWAY
map03010	Ribosome	174	0	KEGGPATHWAY
map03013	RNA transport	166	3	KEGGPATHWAY
map03015	mRNA surveillance pathway	95	0	KEGGPATHWAY
map03018	RNA degradation	82	0	KEGGPATHWAY
map03020	RNA polymerase	30	0	KEGGPATHWAY
map03022	Basal transcription factors	44	0	KEGGPATHWAY
map03030	DNA replication	35	0	KEGGPATHWAY
map03040	Spliceosome	132	0	KEGGPATHWAY
map03050	Proteasome	46	0	KEGGPATHWAY
map03060	Protein export	28	0	KEGGPATHWAY
map03070	Bacterial secretion system	0	1	KEGGPATHWAY
map03320	PPAR signaling pathway	87	5	KEGGPATHWAY
map03410	Base excision repair	34	0	KEGGPATHWAY
map03420	Nucleotide excision repair	43	0	KEGGPATHWAY
map03430	Mismatch repair	22	0	KEGGPATHWAY
map03440	Homologous recombination	41	0	KEGGPATHWAY
map03450	Non-homologous end-joining	13	0	KEGGPATHWAY
map03460	Fanconi anemia pathway	51	0	KEGGPATHWAY
map04010	MAPK signaling pathway	294	5	KEGGPATHWAY
map04012	ErbB signaling pathway	84	4	KEGGPATHWAY
map04014	Ras signaling pathway	232	7	KEGGPATHWAY
map04015	Rap1 signaling pathway	214	5	KEGGPATHWAY
map04020	Calcium signaling pathway	192	10	KEGGPATHWAY
map04022	cGMP-PKG signaling pathway	173	10	KEGGPATHWAY
map04024	cAMP signaling pathway	215	25	KEGGPATHWAY
map04060	Cytokine-cytokine receptor interaction	296	0	KEGGPATHWAY
map04061	Viral protein interaction with cytokine and cytokine receptor	103	0	KEGGPATHWAY
map04062	Chemokine signaling pathway	198	5	KEGGPATHWAY
map04064	NF-kappa B signaling pathway	110	3	KEGGPATHWAY
map04066	HIF-1 signaling pathway	112	15	KEGGPATHWAY
map04068	FoxO signaling pathway	131	5	KEGGPATHWAY
map04070	Phosphatidylinositol signaling system	98	29	KEGGPATHWAY
map04071	Sphingolipid signaling pathway	124	15	KEGGPATHWAY
map04072	Phospholipase D signaling pathway	148	11	KEGGPATHWAY
map04075	Plant hormone signal transduction	0	12	KEGGPATHWAY
map04080	Neuroactive ligand-receptor interaction	350	52	KEGGPATHWAY
map04110	Cell cycle	123	0	KEGGPATHWAY
map04111	Cell cycle - yeast	0	2	KEGGPATHWAY
map04112	Cell cycle - Caulobacter	0	1	KEGGPATHWAY
map04113	Meiosis - yeast	0	3	KEGGPATHWAY
map04114	Oocyte meiosis	119	4	KEGGPATHWAY
map04115	p53 signaling pathway	71	0	KEGGPATHWAY
map04120	Ubiquitin mediated proteolysis	138	0	KEGGPATHWAY
map04122	Sulfur relay system	8	11	KEGGPATHWAY
map04130	SNARE interactions in vesicular transport	33	0	KEGGPATHWAY
map04136	Autophagy - other	32	3	KEGGPATHWAY
map04137	Mitophagy - animal	63	0	KEGGPATHWAY
map04138	Autophagy - yeast	0	3	KEGGPATHWAY
map04140	Autophagy - animal	138	6	KEGGPATHWAY
map04141	Protein processing in endoplasmic reticulum	164	1	KEGGPATHWAY
map04142	Lysosome	124	4	KEGGPATHWAY
map04144	Endocytosis	269	6	KEGGPATHWAY
map04145	Phagosome	180	1	KEGGPATHWAY
map04146	Peroxisome	84	0	KEGGPATHWAY
map04150	mTOR signaling pathway	154	4	KEGGPATHWAY
map04151	PI3K-Akt signaling pathway	355	4	KEGGPATHWAY
map04152	AMPK signaling pathway	126	22	KEGGPATHWAY
map04210	Apoptosis	136	4	KEGGPATHWAY
map04211	Longevity regulating pathway	90	8	KEGGPATHWAY
map04212	Longevity regulating pathway - worm	0	10	KEGGPATHWAY
map04213	Longevity regulating pathway - multiple species	62	2	KEGGPATHWAY
map04214	Apoptosis - fly	0	1	KEGGPATHWAY
map04215	Apoptosis - multiple species	32	0	KEGGPATHWAY
map04216	Ferroptosis	41	29	KEGGPATHWAY
map04217	Necroptosis	176	10	KEGGPATHWAY
map04218	Cellular senescence	185	5	KEGGPATHWAY
map04260	Cardiac muscle contraction	86	4	KEGGPATHWAY
map04261	Adrenergic signaling in cardiomyocytes	152	10	KEGGPATHWAY
map04270	Vascular smooth muscle contraction	140	16	KEGGPATHWAY
map04310	Wnt signaling pathway	162	1	KEGGPATHWAY
map04330	Notch signaling pathway	54	0	KEGGPATHWAY
map04340	Hedgehog signaling pathway	47	1	KEGGPATHWAY
map04350	TGF-beta signaling pathway	95	0	KEGGPATHWAY
map04360	Axon guidance	180	1	KEGGPATHWAY
map04361	Axon regeneration	0	7	KEGGPATHWAY
map04370	VEGF signaling pathway	58	6	KEGGPATHWAY
map04371	Apelin signaling pathway	137	9	KEGGPATHWAY
map04380	Osteoclast differentiation	128	3	KEGGPATHWAY
map04390	Hippo signaling pathway	154	0	KEGGPATHWAY
map04392	Hippo signaling pathway - multiple species	26	0	KEGGPATHWAY
map04510	Focal adhesion	199	2	KEGGPATHWAY
map04512	ECM-receptor interaction	88	0	KEGGPATHWAY
map04514	Cell adhesion molecules (CAMs)	171	0	KEGGPATHWAY
map04520	Adherens junction	71	0	KEGGPATHWAY
map04530	Tight junction	166	1	KEGGPATHWAY
map04540	Gap junction	86	11	KEGGPATHWAY
map04550	Signaling pathways regulating pluripotency of stem cells	138	0	KEGGPATHWAY
map04610	Complement and coagulation cascades	93	1	KEGGPATHWAY
map04611	Platelet activation	125	14	KEGGPATHWAY
map04612	Antigen processing and presentation	91	0	KEGGPATHWAY
map04614	Renin-angiotensin system	36	11	KEGGPATHWAY
map04620	Toll-like receptor signaling pathway	99	0	KEGGPATHWAY
map04621	NOD-like receptor signaling pathway	210	6	KEGGPATHWAY
map04622	RIG-I-like receptor signaling pathway	68	0	KEGGPATHWAY
map04623	Cytosolic DNA-sensing pathway	64	1	KEGGPATHWAY
map04624	Toll and Imd signaling pathway	0	1	KEGGPATHWAY
map04625	C-type lectin receptor signaling pathway	112	11	KEGGPATHWAY
map04626	Plant-pathogen interaction	0	5	KEGGPATHWAY
map04630	JAK-STAT signaling pathway	165	0	KEGGPATHWAY
map04640	Hematopoietic cell lineage	95	0	KEGGPATHWAY
map04650	Natural killer cell mediated cytotoxicity	117	4	KEGGPATHWAY
map04657	IL-17 signaling pathway	91	0	KEGGPATHWAY
map04658	Th1 and Th2 cell differentiation	87	3	KEGGPATHWAY
map04659	Th17 cell differentiation	102	4	KEGGPATHWAY
map04660	T cell receptor signaling pathway	103	4	KEGGPATHWAY
map04662	B cell receptor signaling pathway	82	4	KEGGPATHWAY
map04664	Fc epsilon RI signaling pathway	67	11	KEGGPATHWAY
map04666	Fc gamma R-mediated phagocytosis	90	8	KEGGPATHWAY
map04668	TNF signaling pathway	113	0	KEGGPATHWAY
map04670	Leukocyte transendothelial migration	115	4	KEGGPATHWAY
map04672	Intestinal immune network for IgA production	42	2	KEGGPATHWAY
map04710	Circadian rhythm	30	2	KEGGPATHWAY
map04713	Circadian entrainment	98	9	KEGGPATHWAY
map04714	Thermogenesis	230	23	KEGGPATHWAY
map04720	Long-term potentiation	67	7	KEGGPATHWAY
map04721	Synaptic vesicle cycle	76	12	KEGGPATHWAY
map04722	Neurotrophin signaling pathway	121	5	KEGGPATHWAY
map04723	Retrograde endocannabinoid signaling	148	19	KEGGPATHWAY
map04724	Glutamatergic synapse	113	8	KEGGPATHWAY
map04725	Cholinergic synapse	112	12	KEGGPATHWAY
map04726	Serotonergic synapse	131	42	KEGGPATHWAY
map04727	GABAergic synapse	89	9	KEGGPATHWAY
map04728	Dopaminergic synapse	134	12	KEGGPATHWAY
map04730	Long-term depression	61	9	KEGGPATHWAY
map04740	Olfactory transduction	1133	8	KEGGPATHWAY
map04742	Taste transduction	88	32	KEGGPATHWAY
map04744	Phototransduction	27	8	KEGGPATHWAY
map04745	Phototransduction - fly	0	11	KEGGPATHWAY
map04750	Inflammatory mediator regulation of TRP channels	127	35	KEGGPATHWAY
map04810	Regulation of actin cytoskeleton	216	5	KEGGPATHWAY
map04910	Insulin signaling pathway	139	4	KEGGPATHWAY
map04911	Insulin secretion	86	12	KEGGPATHWAY
map04912	GnRH signaling pathway	90	6	KEGGPATHWAY
map04913	Ovarian steroidogenesis	57	24	KEGGPATHWAY
map04914	Progesterone-mediated oocyte maturation	90	4	KEGGPATHWAY
map04915	Estrogen signaling pathway	134	8	KEGGPATHWAY
map04916	Melanogenesis	100	6	KEGGPATHWAY
map04917	Prolactin signaling pathway	72	11	KEGGPATHWAY
map04918	Thyroid hormone synthesis	73	21	KEGGPATHWAY
map04919	Thyroid hormone signaling pathway	118	11	KEGGPATHWAY
map04920	Adipocytokine signaling pathway	71	7	KEGGPATHWAY
map04921	Oxytocin signaling pathway	153	12	KEGGPATHWAY
map04922	Glucagon signaling pathway	104	26	KEGGPATHWAY
map04923	Regulation of lipolysis in adipocytes	56	14	KEGGPATHWAY
map04924	Renin secretion	76	17	KEGGPATHWAY
map04925	Aldosterone synthesis and secretion	101	22	KEGGPATHWAY
map04926	Relaxin signaling pathway	129	6	KEGGPATHWAY
map04927	Cortisol synthesis and secretion	69	12	KEGGPATHWAY
map04928	Parathyroid hormone synthesis, secretion and action	107	10	KEGGPATHWAY
map04929	GnRH secretion	63	9	KEGGPATHWAY
map04930	Type II diabetes mellitus	48	6	KEGGPATHWAY
map04931	Insulin resistance	110	19	KEGGPATHWAY
map04932	Non-alcoholic fatty liver disease (NAFLD)	150	2	KEGGPATHWAY
map04933	AGE-RAGE signaling pathway in diabetic complications	101	9	KEGGPATHWAY
map04934	Cushing syndrome	159	13	KEGGPATHWAY
map04935	Growth hormone synthesis, secretion and action	116	4	KEGGPATHWAY
map04940	Type I diabetes mellitus	70	3	KEGGPATHWAY
map04950	Maturity onset diabetes of the young	27	0	KEGGPATHWAY
map04960	Aldosterone-regulated sodium reabsorption	38	8	KEGGPATHWAY
map04961	Endocrine and other factor-regulated calcium reabsorption	60	8	KEGGPATHWAY
map04962	Vasopressin-regulated water reabsorption	43	2	KEGGPATHWAY
map04964	Proximal tubule bicarbonate reclamation	22	17	KEGGPATHWAY
map04966	Collecting duct acid secretion	27	8	KEGGPATHWAY
map04970	Salivary secretion	78	17	KEGGPATHWAY
map04971	Gastric acid secretion	74	14	KEGGPATHWAY
map04972	Pancreatic secretion	108	15	KEGGPATHWAY
map04973	Carbohydrate digestion and absorption	46	27	KEGGPATHWAY
map04974	Protein digestion and absorption	94	47	KEGGPATHWAY
map04975	Fat digestion and absorption	40	13	KEGGPATHWAY
map04976	Bile secretion	72	97	KEGGPATHWAY
map04977	Vitamin digestion and absorption	24	39	KEGGPATHWAY
map04978	Mineral absorption	52	29	KEGGPATHWAY
map04979	Cholesterol metabolism	49	10	KEGGPATHWAY
map05010	Alzheimer disease	173	7	KEGGPATHWAY
map05012	Parkinson disease	142	15	KEGGPATHWAY
map05014	Amyotrophic lateral sclerosis (ALS)	58	10	KEGGPATHWAY
map05016	Huntington disease	199	3	KEGGPATHWAY
map05020	Prion diseases	34	3	KEGGPATHWAY
map05030	Cocaine addiction	48	7	KEGGPATHWAY
map05031	Amphetamine addiction	69	9	KEGGPATHWAY
map05032	Morphine addiction	91	8	KEGGPATHWAY
map05033	Nicotine addiction	40	7	KEGGPATHWAY
map05034	Alcoholism	201	10	KEGGPATHWAY
map05100	Bacterial invasion of epithelial cells	73	0	KEGGPATHWAY
map05110	Vibrio cholerae infection	0	9	KEGGPATHWAY
map05111	Biofilm formation - Vibrio cholerae	0	8	KEGGPATHWAY
map05120	Epithelial cell signaling in Helicobacter pylori infection	0	5	KEGGPATHWAY
map05130	Pathogenic Escherichia coli infection	0	3	KEGGPATHWAY
map05131	Shigellosis	0	16	KEGGPATHWAY
map05132	Salmonella infection	75	4	KEGGPATHWAY
map05133	Pertussis	76	10	KEGGPATHWAY
map05134	Legionellosis	60	2	KEGGPATHWAY
map05135	Yersinia infection	121	5	KEGGPATHWAY
map05140	Leishmaniasis	69	6	KEGGPATHWAY
map05142	Chagas disease (American trypanosomiasis)	102	6	KEGGPATHWAY
map05143	African trypanosomiasis	38	8	KEGGPATHWAY
map05144	Malaria	56	2	KEGGPATHWAY
map05145	Toxoplasmosis	108	3	KEGGPATHWAY
map05146	Amoebiasis	107	13	KEGGPATHWAY
map05150	Staphylococcus aureus infection	122	2	KEGGPATHWAY
map05152	Tuberculosis	178	9	KEGGPATHWAY
map05160	Hepatitis C	160	2	KEGGPATHWAY
map05161	Hepatitis B	162	1	KEGGPATHWAY
map05162	Measles	144	1	KEGGPATHWAY
map05163	Human cytomegalovirus infection	255	6	KEGGPATHWAY
map05164	Influenza A	166	3	KEGGPATHWAY
map05165	Human papillomavirus infection	361	3	KEGGPATHWAY
map05166	Human T-cell leukemia virus 1 infection	246	5	KEGGPATHWAY
map05167	Kaposi sarcoma-associated herpesvirus infection	216	5	KEGGPATHWAY
map05168	Herpes simplex virus 1 infection	436	3	KEGGPATHWAY
map05169	Epstein-Barr virus infection	229	3	KEGGPATHWAY
map05170	Human immunodeficiency virus 1 infection	238	5	KEGGPATHWAY
map05200	Pathways in cancer	539	31	KEGGPATHWAY
map05202	Transcriptional misregulation in cancer	183	0	KEGGPATHWAY
map05203	Viral carcinogenesis	231	0	KEGGPATHWAY
map05204	Chemical carcinogenesis	95	99	KEGGPATHWAY
map05205	Proteoglycans in cancer	205	4	KEGGPATHWAY
map05206	MicroRNAs in cancer	303	0	KEGGPATHWAY
map05210	Colorectal cancer	88	1	KEGGPATHWAY
map05211	Renal cell carcinoma	68	3	KEGGPATHWAY
map05212	Pancreatic cancer	76	2	KEGGPATHWAY
map05213	Endometrial cancer	58	1	KEGGPATHWAY
map05214	Glioma	74	4	KEGGPATHWAY
map05215	Prostate cancer	99	11	KEGGPATHWAY
map05216	Thyroid cancer	37	0	KEGGPATHWAY
map05217	Basal cell carcinoma	63	1	KEGGPATHWAY
map05218	Melanoma	72	1	KEGGPATHWAY
map05219	Bladder cancer	41	0	KEGGPATHWAY
map05220	Chronic myeloid leukemia	76	1	KEGGPATHWAY
map05221	Acute myeloid leukemia	70	1	KEGGPATHWAY
map05222	Small cell lung cancer	92	3	KEGGPATHWAY
map05223	Non-small cell lung cancer	66	6	KEGGPATHWAY
map05224	Breast cancer	147	3	KEGGPATHWAY
map05225	Hepatocellular carcinoma	172	14	KEGGPATHWAY
